Car Brand,Car Price,Miles,Trim,Engine,VIN,Transmission,Drivetrain,Exterior Color,Interior Color,Mileage,Stock #,Condition,Body Style,Fuel Type,Gas Mileage,Cabin,Bed,Rear Wheel
2020 Chevrolet Silverado 1500 LT,"$45,629
est. $658/mo","1 Miles
Fridley, MN",LT,5.3L V8,1GCUYDED7LZ334474,Automatic,4WD,Black,Jet Black w/Cloth Seat Trim,1,53276,New,Pickup_truck,,,,,
2017 Hyundai Sonata SE,"$13,100
est. $189/mo","37,431 Miles
Burnsville, MN",SE,4 Cylinder,5NPE24AF9HH527429,Automatic,FWD,Symphony Silver,Gray,,41619,Used,,Gasoline,25 city / 36 hwy,,,
2017 Ford Focus SE,"$13,599
est. $196/mo","26,205 Miles
Saint Paul, MN",SE,1.0L,1FADP3FE6HL266916,Automatic,FWD,Gray,Black,"26,205",,Used,Sedan,Gasoline,,,,
2019 Chevrolet Suburban LT 1500,"$45,300
est. $653/mo","19,875 Miles
Burnsville, MN",LT 1500,8 Cylinder,1GNSKHKC6KR331597,Automatic,4WD,Silver Ice Metallic,Jet Black,,41606,Used,,Gasoline,14 city / 21 hwy,,,
2019 Volkswagen Jetta 1.4T S ULEV,"$13,397
est. $193/mo","40,549 Miles
Saint Paul, MN",1.4T S ULEV,4 Cylinder Engine,3VWCB7BU4KM145717,Automatic,FWD,,,"40,549",,Used,Sedan,Gasoline,30 city / 40 hwy,,,
2020 Mitsubishi Outlander ES,"$23,235
est. $335/mo","10 Miles
Saint Paul, MN",ES,,JA4AZ3A33LZ012061,Automatic,AWD,Labrador Black Metallic,BLACK,10,93937,New,Suv,,,,,
2020 Mercedes-Benz E-Class E 350,"$65,615
est. $946/mo","Mileage Unknown
Minnetonka, MN",E 350,,W1KZF8EB7LA833118,Automatic,AWD,Obsidian Black Metallic,Black,,74451,New,Sedan,,,,,
2018 Toyota Yaris iA Base,"$11,489
est. $166/mo","43,766 Miles
Burnsville, MN",Base,4 Cylinder,3MYDLBYV2JY318151,Automatic,FWD,Gray,Black,,41457,Used,,Gasoline,32 city / 40 hwy,,,
2017 Mitsubishi Outlander Sport ES,"$14,998
est. $216/mo","26,666 Miles
Minneapolis, MN",ES,2.0L,JA4AP3AU3HZ052033,Automatic,FWD,Black,Black,,19328956,Used,,Gasoline,24 city / 30 hwy,,,
2020 Mitsubishi Outlander Sport ES 2.0,"$18,999
est. $274/mo","3 Miles
Saint Paul, MN",ES 2.0,,JA4AP3AU0LU030836,Automatic,FWD,Pearl White,BLACK,3,96001,New,Suv,,,,,
2019 GMC Terrain SLT,"$22,998
est. $331/mo","37,361 Miles
Brooklyn Park, MN",SLT,1.5L,3GKALVEV1KL213921,Automatic,4WD,White,Black,,19359381,Used,,Gasoline,24 city / 28 hwy,,,
2020 GMC Terrain SLT,"$25,190
est. $363/mo","12,102 Miles
Burnsville, MN",SLT,4 Cylinder,3GKALVEV3LL234352,Automatic,4WD,Ebony Twilight Metallic,Jet Black,,41508,Used,,Gasoline,25 city / 28 hwy,,,
2014 Mitsubishi Mirage,"$9,496
est. $137/mo","75,213 Miles
Saint Paul, MN",,,ML32A4HJ0EH026037,Automatic,FWD,Infrared,BLACK,"75,213",W95627A,Used,Hatchback,,,,,
2013 Acura TL Base,"$14,599
est. $210/mo","86,481 Miles
Maplewood, MN",Base,3.5L,19UUA8F2XDA001373,Automatic,FWD,Black,Tan,,18781466,Used,,Gasoline,20 city / 29 hwy,,,
2019 Ford Explorer XLT,"$30,990
est. $447/mo","29,098 Miles
Forest Lake, MN",XLT,2.3L I4 EcoBoost,1FM5K8DH7KGA53721,Automatic,AWD,Oxford White,Ebony Black,"29,098",CP15876,Used,Suv,,,,,
2018 Toyota Corolla LE,"$12,700
est. $183/mo","42,512 Miles
Burnsville, MN",LE,4 Cylinder,5YFBURHEXJP830946,Automatic,FWD,Gray,Black,,40572,Used,,Gasoline,28 city / 35 hwy,,,
2019 Toyota Corolla LE,"$14,397
est. $208/mo","27,349 Miles
Saint Paul, MN",LE,4 Cylinder Engine,5YFBURHE6KP928213,Automatic,FWD,,Ash,"27,349",,Used,Sedan,Gasoline,28 city / 35 hwy,,,
2019 Kia Optima LX,"$13,994
est. $202/mo","40,655 Miles
Burnsville, MN",LX,4 Cylinder,5XXGT4L30KG284301,Automatic,FWD,Platinum Graphite,Black,,41419,Used,,Gasoline,24 city / 33 hwy,,,
2020 Ford Explorer XLT,"$38,742
est. $558/mo","22 Miles
Roseville, MN",XLT,I-4 2.3L EcoBoost,1FMSK8DH3LGC98987,Automatic,AWD,Agate Black,Ebony,22,202229,New,Suv,,,,,
2020 Ford Fusion SE,Accepting Offers,"2 Miles
Inver Grove Heights, MN",SE,,3FA6P0HD2LR112368,Automatic,FWD,Alto Blue Metallic Tinted Clearcoat,,2,2012368,New,Sedan,,,,,
2020 Mitsubishi Outlander Sport ES 2.0,"$22,100
est. $319/mo","10 Miles
Saint Paul, MN",ES 2.0,,JA4AR3AU9LU030697,Automatic,AWD,Pearl White,BLACK,10,95457,New,Suv,,,,,
2019 Buick Encore Essence,"$18,989
est. $274/mo","28,073 Miles
Burnsville, MN",Essence,4 Cylinder,KL4CJGSM6KB792241,Automatic,AWD,Summit White,Ebony,,41586,Used,,Gasoline,24 city / 29 hwy,,,
2018 Audi A5 Premium Plus,"$33,800
est. $487/mo","29,488 Miles
Minnetonka, MN",Premium Plus,,WAUTNAF51JA032584,Automatic,AWD,Manhattan Gray Metallic,Black,"29,488",5141,Used,Coupe,,,,,
2018 Ford Edge SEL,"$26,998
est. $389/mo","8,054 Miles
Saint Paul, MN",SEL,2.0L,2FMPK4J94JBC31265,Automatic,AWD,Blue,Black,,19256573,Used,,Gasoline,20 city / 27 hwy,,,
2020 Mercedes-Benz AMG GT AMG GT R,"$184,526
est. $2,660/mo","2,391 Miles
Minnetonka, MN",AMG GT R,,W1KYK7KA5LA029378,Automatic,RWD,Designo Brilliant Blue Magno,Silver Pearl/Black,"2,391",27073,Used,Convertible,,,,,
2020 Nissan Pathfinder SV,"$28,155
est. $406/mo","1,762 Miles
Burnsville, MN",SV,6 Cylinder,5N1DR2BM1LC602164,Automatic,4WD,Glacier White,Charcoal,,41420,Used,,Gasoline,20 city / 27 hwy,,,
2017 Ford Explorer Sport,"$31,998
est. $461/mo","43,741 Miles
Maplewood, MN",Sport,3.5L,1FM5K8GT9HGD11391,Automatic,AWD,Gray,Black,,19342501,Used,,Gasoline,16 city / 22 hwy,,,
2020 Kia Optima LX,"$15,296
est. $220/mo","19,066 Miles
Burnsville, MN",LX,4 Cylinder,5XXGT4L39LG391316,Automatic,FWD,Sparkling Silver,Black,,41177,Used,,Gasoline,24 city / 32 hwy,,,
2018 Chevrolet Malibu LT,"$12,900
est. $186/mo","46,035 Miles
Burnsville, MN",LT,4 Cylinder,1G1ZD5ST7JF248527,Automatic,FWD,Silver Ice Metallic,Jet Black,,41081,Used,,Gasoline,27 city / 36 hwy,,,
2013 Ford Edge SEL,"$15,998
est. $231/mo","71,252 Miles
Maplewood, MN",SEL,3.5L,2FMDK3JC1DBC83644,Automatic,FWD,Red,Tan,,18781594,Used,,Gasoline,19 city / 27 hwy,,,
2019 Hyundai Accent SE,"$13,998
est. $202/mo","33,008 Miles
Minneapolis, MN",SE,1.6L,3KPC24A31KE060788,Automatic,FWD,White,Black,,19389688,Used,,Gasoline,28 city / 38 hwy,,,
2016 Jeep Cherokee Latitude,"$20,998
est. $303/mo","32,396 Miles
Brooklyn Park, MN",Latitude,3.2L,1C4PJMCS2GW332822,Automatic,4WD,Tan,Black,"32,396",,Used,Suv,Gasoline,,,,
2020 Chevrolet Trax LS,"$18,494
est. $267/mo","1 Miles
Fridley, MN",LS,1.4L 4 cyls,KL7CJNSB5LB066023,Automatic,AWD,Mosaic Black Metallic,Jet Black w/Cloth Seat Trim,1,52626,New,Suv,,,,,
2018 Mitsubishi Outlander Sport ES 2.0,"$16,996
est. $245/mo","16,294 Miles
Saint Paul, MN",ES 2.0,,JA4AR3AU0JZ013593,Automatic,AWD,SILVER,BLACK,"16,294",W93977A,Used,Suv,,,,,
2017 Ram Pickup 3500 Tradesman,"$41,990
est. $605/mo","39,756 Miles
Forest Lake, MN",Tradesman,Cummins 6.7L I6 Turbodiesel,3C63R3CL1HG633762,Automatic,4WD,Bright White Clearcoat,Diesel Gray/Black,"39,756",R20687A,Used,Pickup_truck,,,,,
2017 Honda CR-V Touring,"$25,313
est. $365/mo","42,066 Miles
Coon Rapids, MN",Touring,,5J6RW2H99HL021468,Automatic,AWD,Crystal Black Pearl,Black,"42,066",P021468,Used,Suv,,,,,
2020 Buick Envision,"$33,846
est. $488/mo","5 Miles
Minneapolis, MN",,,LRBFX3SX2LD177677,Automatic,AWD,Ebony Twilight Metallic,Ebony,5,LJLB20122,New,Suv,,,,,
2020 Jeep Cherokee Trailhawk,"$31,299
est. $451/mo","Mileage Unknown
Shakopee, MN",Trailhawk,3.2L V6,1C4PJMBX0LD627775,Automatic,4WD,Light Brownstone Pearlcoat,Black,,D5185,New,Suv,,,,,
2017 Chevrolet Malibu LT w/1LT,"$16,280
est. $235/mo","32,610 Miles
Fridley, MN",LT w/1LT,1.5L 4 cyls,1G1ZE5ST4HF196507,Automatic,FWD,Nightfall Gray Metallic,Jet Black w/Premium Cloth Seat Trim,"32,610",13260M,Used,Sedan,,,,,
2020 Mitsubishi Outlander Sport SE 2.0,"$21,999
est. $317/mo","10 Miles
Saint Paul, MN",SE 2.0,,JA4AR3AU0LU014999,Automatic,,Labrador Black Metallic,BLACK,10,94187,New,Suv,,,,,
2020 Cadillac XT5 Premium Luxury,"$41,169
est. $593/mo","3,723 Miles
Burnsville, MN",Premium Luxury,6 Cylinder,1GYKNCRS8LZ177308,Automatic,FWD,Radiant Silver Metallic,Jet Black,,41524,Used,,Gasoline,18 city / 26 hwy,,,
2018 Chevrolet Equinox LT,"$17,998
est. $259/mo","34,230 Miles
Minneapolis, MN",LT,1.5L,2GNAXJEV0J6237405,Automatic,FWD,Gray,Gray,,18971101,Used,,Gasoline,26 city / 32 hwy,,,
2020 Dodge Journey SE,"$21,226
est. $306/mo","1 Miles
Forest Lake, MN",SE,2.4L I4 DOHC 16V Dual VVT,3C4PDCAB3LT181459,Automatic,FWD,Pitch Black Clearcoat,Black,1,D20057,New,Suv,,,,,
2015 Chevrolet Silverado 2500HD WT,"$38,695
est. $558/mo","52,771 Miles
Fridley, MN",WT,6.6L V8 Diesel,1GC1KUE87FF135132,Automatic,4WD,Summit White,Dark Ash/Jet Black w/Cloth Seat Trim,"52,771",52919A,Used,Pickup_truck,,,,,
2017 Kia Sorento LX,"$17,998
est. $259/mo","29,987 Miles
Saint Paul, MN",LX,2.4L,5XYPGDA31HG295500,Automatic,AWD,Gray,Black,,18982423,Used,,Gasoline,21 city / 25 hwy,,,
2017 Ram Pickup 1500 Laramie Longhorn,"$41,998
est. $605/mo","30,082 Miles
Minneapolis, MN",Laramie Longhorn,5.7L,,Automatic,4WD,,Brown,"30,082",,,Pickup,Gasoline,,Crew,Regular,Single
2015 Volkswagen Passat 1.8T Limited Edition,"$10,988
est. $158/mo","104,788 Miles
Saint Paul, MN",1.8T Limited Edition,,1VWAT7A39FC106612,Automatic,FWD,Black Uni,Titan Black,"104,788",W96181T,Used,Sedan,,,,,
2020 Chevrolet Trax LT,"$19,837
est. $286/mo","4 Miles
Fridley, MN",LT,1.4L 4 cyls,KL7CJLSB8LB324202,Automatic,FWD,Summit White,Jet Black,4,53011,New,Suv,,,,,
2020 Jeep Renegade Latitude,"$22,114
est. $319/mo","2 Miles
Forest Lake, MN",Latitude,2.4L I4,ZACNJBBB7LPK99009,Automatic,4WD,Alpine White Clearcoat,Black,2,J20263,New,Suv,,,,,
2019 Kia Soul +,"$13,397
est. $193/mo","26,133 Miles
Saint Paul, MN",+,4 Cylinder Engine,KNDJP3A53K7022872,Automatic,FWD,Titanium Gray,Black,"26,133",,Used,,Gasoline,25 city / 30 hwy,,,
2019 Nissan Rogue SV,"$20,800
est. $300/mo","20,346 Miles
Burnsville, MN",SV,4 Cylinder,KNMAT2MV8KP555950,Automatic,AWD,Gun Metallic,Charcoal,,41627,Used,,Gasoline,25 city / 32 hwy,,,
2015 Kia Forte LX,"$9,990
est. $144/mo","78,525 Miles
Minneapolis, MN",LX,1.8L I4 DOHC Dual CVVT,KNAFX4A63F5289397,Automatic,FWD,Metallic Bronze,Gray,"78,525",LGD13905A,Used,Sedan,,,,,
2019 Ram Pickup 1500 Big Horn/Lone Star,"$38,790
est. $559/mo","32,728 Miles
Forest Lake, MN",Big Horn/Lone Star,HEMI 5.7L V8 Multi Displacement VVT,1C6SRFFT2KN523309,Automatic,4WD,Diamond Black Crystal Pearlcoat,Black,"32,728",R20375A,Used,Pickup_truck,,,,,
2017 Chevrolet Volt Premier,"$20,998
est. $303/mo","24,047 Miles
Minneapolis, MN",Premier,1.5L,1G1RB6S57HU109601,Automatic,FWD,White,Black,,19256902,Used,,Plug-in hybrid,43 city / 42 hwy,,,
2020 Mitsubishi Outlander PHEV GT,"$38,170
est. $550/mo","10 Miles
Saint Paul, MN",GT,,JA4J24A50LZ030013,Automatic,AWD,Ruby Black Pearl,BLACK,10,95030,New,Suv,,,,,
2018 Chrysler Pacifica Touring Plus,"$21,990
est. $317/mo","45,792 Miles
Forest Lake, MN",Touring Plus,3.6L V6 24V VVT,2C4RC1FGXJR116693,Automatic,FWD,Brilliant Black Crystal Pearlcoat,Black/Alloy,"45,792",P15755,Used,Minivan,,,,,
2015 Nissan Rogue S,"$15,998
est. $231/mo","52,733 Miles
Minneapolis, MN",S,2.5L,KNMAT2MV1FP581134,Automatic,AWD,Burgundy,Gray,,19257061,Used,,Gasoline,25 city / 32 hwy,,,
2020 Ford F-150 XLT,"$42,152
est. $608/mo","Mileage Unknown
Apple Valley, MN",XLT,2.7L V6 EcoBoost,1FTEX1EP3LFC48807,Automatic,4WD,Oxford White,Blk Unique Spt Clth Sts,,82140,New,Pickup_truck,,,,,
2017 Hyundai Elantra Value Edition,"$15,998
est. $231/mo","30,209 Miles
Minneapolis, MN",Value Edition,2.0L,5NPD84LF9HH210273,Automatic,FWD,Red,Black,,19365656,Used,,Gasoline,28 city / 37 hwy,,,
2020 Mitsubishi Eclipse Cross SE,"$24,600
est. $355/mo","10 Miles
Saint Paul, MN",SE,,JA4AS5AA3LZ015167,Automatic,FWD,Pearl White,BLACK,10,95338,New,Suv,,,,,
2020 Jeep Grand Cherokee Limited X,"$39,990
est. $576/mo","13,543 Miles
Forest Lake, MN",Limited X,3.6L V6 24V VVT,1C4RJFBG1LC264137,Automatic,4WD,Velvet Red Pearlcoat,Black,"13,543",LP15366R,Used,Suv,,,,,
2020 GMC Sierra 3500HD Denali,"$76,180
est. $1,098/mo","35 Miles
Monticello, MN",Denali,Duramax 6.6L V8 Turbodiesel,1GT49WEY1LF306568,Automatic,4WD,White Frost Tricoat,Dark Walnut/Dark Ash Grey,35,G20-533,New,Pickup_truck,,,,,
2018 Jeep Renegade Latitude,"$16,998
est. $245/mo","18,566 Miles
Brooklyn Park, MN",Latitude,1.4L,ZACCJABH0JPG96812,Manual,FWD,Gray,Black,,18706835,Used,,Gasoline,24 city / 31 hwy,,,
2020 Nissan Pathfinder SV,"$25,096
est. $362/mo","12,547 Miles
Burnsville, MN",SV,6 Cylinder,5N1DR2BM4LC609531,Automatic,4WD,Magnetic Black Pearl,Charcoal,,41616,Used,,Gasoline,20 city / 27 hwy,,,
2019 Jeep Cherokee Trailhawk,"$27,763
est. $400/mo","21,062 Miles
Forest Lake, MN",Trailhawk,2.0L I4 DOHC,1C4PJMBN6KD182925,Automatic,4WD,Bright White Clearcoat,Black,"21,062",CP15662A,Used,Suv,,,,,
2017 Lexus CT 200h Base,"$21,998
est. $317/mo","33,990 Miles
Minneapolis, MN",Base,1.8L,JTHKD5BHXH2296334,Automatic,FWD,Blue,Black,,19181249,Used,,Hybrid,43 city / 40 hwy,,,
2018 Chevrolet Equinox LT w/1LT,"$20,395
est. $294/mo","33,054 Miles
Fridley, MN",LT w/1LT,1.5L 4 cyls,2GNAXSEV5J6164750,Automatic,4WD,Summit White,Medium Ash Gray,"33,054",13230P,Certified pre-owned,Suv,,,,,
2020 Mitsubishi Outlander PHEV GT,"$38,350
est. $553/mo","10 Miles
Saint Paul, MN",GT,,JA4J24A5XLZ029807,Automatic,AWD,Red Diamond,BLACK,10,95029,New,Suv,,,,,
2020 Ford Escape SE,"$24,615
est. $355/mo","Mileage Unknown
Shakopee, MN",SE,1.5L EcoBoost,1FMCU9G60LUB49131,Automatic,AWD,Oxford White,Ebony,,S42668,New,Suv,,,,,
2020 Dodge Durango GT,"$38,461
est. $554/mo","185 Miles
Stillwater, MN",GT,,1C4RDJDG9LC163242,Automatic,AWD,VICE WHITE,,185,420178,New,Suv,,,,,
2015 Toyota Avalon XLE Touring,"$20,998
est. $303/mo","28,680 Miles
Saint Paul, MN",XLE Touring,3.5L,4T1BK1EB9FU184953,Automatic,FWD,Black,Tan,,18464882,Used,,Gasoline,21 city / 31 hwy,,,
2020 Ford Escape SE,Accepting Offers,"3 Miles
Inver Grove Heights, MN",SE,,1FMCU9G6XLUB05007,Automatic,AWD,Oxford White,,3,2005007,New,Suv,,,,,
2020 Chevrolet Trax LT,"$20,375
est. $294/mo","5 Miles
Fridley, MN",LT,1.4L 4 cyls,KL7CJPSB0LB335914,Automatic,AWD,Mosaic Black Metallic,Jet Black,5,53069,New,Suv,,,,,
2020 Ram Pickup 1500 Classic Warlock,"$29,378
est. $423/mo","2 Miles
Forest Lake, MN",Warlock,3.6L V6 24V VVT,1C6RR7GG2LS104465,Automatic,4WD,Bright White Clearcoat,Black,2,R20349,New,Pickup_truck,,,,,
2017 Jeep Compass Latitude,"$18,497
est. $267/mo","46,015 Miles
Forest Lake, MN",Latitude,2.4L I4 MultiAir,3C4NJDBB5HT630751,Automatic,4WD,Laser Blue Pearlcoat,Black,"46,015",D20031A,Used,Suv,,,,,
2018 GMC Terrain SLE Diesel,"$24,998
est. $360/mo","33,440 Miles
Minneapolis, MN",SLE Diesel,1.6L,3GKALUEU1JL188633,Automatic,4WD,Black,,"33,440",,Used,Suv,Diesel,28 city / 38 hwy,,,
2019 Jeep Cherokee Latitude Plus,"$23,763
est. $343/mo","43,245 Miles
Stillwater, MN",Latitude Plus,,1C4PJMLX9KD137266,Automatic,4WD,Billet Silver Metallic Clearcoat,Black,"43,245",Q51393,Used,Suv,,,,,
2020 Mitsubishi Outlander Sport ES 2.0,"$20,999
est. $303/mo","10 Miles
Saint Paul, MN",ES 2.0,,JA4AR3AU3LU009957,Automatic,AWD,Pearl White,BLACK,10,93932,New,Suv,,,,,
2020 Mitsubishi Outlander Sport ES 2.0,"$18,999
est. $274/mo","7 Miles
Saint Paul, MN",ES 2.0,,JA4AP3AU9LU030947,Automatic,FWD,Octane Blue Metallic,BLACK,7,96003,New,Suv,,,,,
2018 Chevrolet Impala LT,"$17,150
est. $247/mo","37,822 Miles
Burnsville, MN",LT,6 Cylinder,2G1105S3XJ9177812,Automatic,FWD,Summit White,Jet Black,,41530,Used,,Flex fuel,19 city / 28 hwy,,,
2020 Mitsubishi Outlander Sport ES 2.0,"$21,000
est. $303/mo","10 Miles
Saint Paul, MN",ES 2.0,,JA4AR3AU8LU016533,Automatic,AWD,Sunshine Orange Metallic,BLACK,10,94261,New,Suv,,,,,
2020 Ram Pickup 1500 Laramie,"$45,661
est. $658/mo","2 Miles
Forest Lake, MN",Laramie,HEMI 5.7L V8 Multi Displacement VVT eTorque,1C6SRFRT9LN395602,Automatic,4WD,Maximum Steel Metallic Clearcoat,Black,2,R20609,New,Pickup_truck,,,,,
2019 Mitsubishi Outlander PHEV GT,"$35,210
est. $508/mo","11 Miles
Saint Paul, MN",GT,,JA4J24A55KZ049011,Automatic,AWD,Quartz Brown Metallic,BLACK,11,96050,New,Suv,,,,,
2020 Mitsubishi Outlander ES,"$23,235
est. $335/mo","10 Miles
Saint Paul, MN",ES,,JA4AZ3A34LZ017396,Automatic,AWD,Cosmic Blue Metallic,BLACK,10,93946,New,Suv,,,,,
2020 Honda CR-V LX,"$27,770
est. $400/mo","5 Miles
Coon Rapids, MN",LX,,2HKRW2H25LH660839,,AWD,Obsidian Blue Pearl,Gray,5,LH660839,New,Suv,,,,,
2018 GMC Yukon Denali,"$66,299
est. $956/mo","5,800 Miles
Inver Grove Heights, MN",Denali,8 Cylinder,1GKS2CKJ0JR116083,Automatic,4WD,Summit White,Jet Black,"5,800",18197,Used,Suv,,,,,
2020 Mitsubishi Mirage LE,"$14,275
est. $206/mo","11 Miles
Saint Paul, MN",LE,,ML32A5HJ3LH008456,Automatic,FWD,Sunrise Orange Metallic,BLACK,11,95419,New,Hatchback,,,,,
2018 Nissan Rogue Sport S,"$15,798
est. $228/mo","32,162 Miles
Burnsville, MN",S,4 Cylinder,JN1BJ1CP7JW192491,Automatic,FWD,Gun Metallic,Charcoal,,41557,Used,,Gasoline,25 city / 32 hwy,,,
2014 Jeep Compass Latitude,"$14,599
est. $210/mo","67,697 Miles
Brooklyn Park, MN",Latitude,2.4L,1C4NJDEB2ED852144,Automatic,4WD,Silver,Black,"67,697",,Used,Suv,Gasoline,,,,
2019 Chrysler 300 Limited,"$22,197
est. $320/mo","25,284 Miles
Saint Paul, MN",Limited,V6 Cylinder Engine,2C3CCAEG7KH634196,Automatic,RWD,Bright White Clearcoat,Black,"25,284",,Used,,Gasoline,19 city / 30 hwy,,,
2017 Nissan Sentra SV,"$13,599
est. $196/mo","35,192 Miles
Minneapolis, MN",SV,1.8L,3N1AB7AP9HL675446,Automatic,FWD,Gray,Black,,19256784,Used,,Gasoline,29 city / 37 hwy,,,
2020 Nissan Armada SV,"$37,800
est. $545/mo","8,304 Miles
Burnsville, MN",SV,8 Cylinder,JN8AY2NC5L9617684,Automatic,4WD,Brilliant Silver Metallic,Black,,41622,Used,,Gasoline,13 city / 18 hwy,,,
2020 Ram Pickup 1500 Big Horn/Lone Star,"$40,799
est. $588/mo","Mileage Unknown
Shakopee, MN",Big Horn/Lone Star,HEMI 5.7L V8 Multi Displacement VVT,1C6SRFFT0LN233622,Automatic,4WD,Granite Crystal Metallic Clearcoat,Diesel Gray/Black,,D4714,New,Pickup_truck,,,,,
2017 Chevrolet Trax LS,"$15,998
est. $231/mo","30,609 Miles
Minneapolis, MN",LS,1.4L,3GNCJNSB6HL215099,Automatic,AWD,Burgundy,Black,,19256898,Used,,Gasoline,24 city / 30 hwy,,,
